iteracion,energia_ua,delta_energia,eigenvalor1
    1,       -3.5368367801,   3.536837E+00,       -1.7192426248
    2,       -2.4979814972,   1.038855E+00,       -0.7596066663
    3,       -2.5841151230,   8.613363E-02,       -0.8238935154
    4,       -2.5654750547,   1.864007E-02,       -0.8096764477
    5,       -2.5694088925,   3.933838E-03,       -0.8126626717
    6,       -2.5685736290,   8.352635E-04,       -0.8120279768
    7,       -2.5687507544,   1.771254E-04,       -0.8121625412
    8,       -2.5687131832,   3.757121E-05,       -0.8121339966
    9,       -2.5687211522,   7.969015E-06,       -0.8121400509
   10,       -2.5687194620,   1.690283E-06,       -0.8121387668
   11,       -2.5687198205,   3.585197E-07,       -0.8121390392
   12,       -2.5687197444,   7.604434E-08,       -0.8121389814
   13,       -2.5687197606,   1.612949E-08,       -0.8121389936
   14,       -2.5687197571,   3.421170E-09,       -0.8121389910
   15,       -2.5687197579,   7.256524E-10,       -0.8121389916
   16,       -2.5687197577,   1.539155E-10,       -0.8121389915
   17,       -2.5687197577,   3.264722E-11,       -0.8121389915
   18,       -2.5687197577,   6.925127E-12,       -0.8121389915
